mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index,PLIF_raw,FP:PLIF,PLIF_ligidx
O=C1N(CCCN2CCOCC2)C(=O)c2c3c4c(c(-c5ccc(CN6CCCC6)cc5)c2)C(=O)N(CCCN2CCOCC2)C(=O)c4cc(NCCN2CCCC2)c13,1,93,-8.3980131,3.3989646,108.83622,-72.514809,-9.484416,-44.846939,-8.3980131,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[97 97 97 97 97 97 33 114 90 88 35 34] [850 854 858 856 852 849 1252 1252 1252 1252 1252 1252] [67 67 67 67 67 67 93 93 93 93 93 93] [10 10 10 10 10 10 10 10 10 10 10 10] [0.7 0.7 0.7 0.7 0.7 0.7 0.5 0.5 0.5 0.5 0.5 0.5]],19 27,[[97 97 97 97 97 97] [33 114 90 88 35 34]]
Clc1ccc(C2=C(CN3CCN(c4cc(Oc5cnc6[nH]ccc6c5)c(C(=O)NS(=O)(=O)c5cc([N+](=O)[O-])c(NC[C@@]6OCCOC6)cc5)cc4)CC3)CCC3(C2)CCC3)cc1,1,65,-8.3863935,2.7244158,135.68529,-6.30902,-9.6545,-49.1399,-8.3863935,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.68252331,1,[[102 57 66 64 62 60 58] [3174 818 818 818 818 818 818] [20203 65 65 65 65 65 65] [5 10 10 10 10 10 10] [4.1 0.8 0.8 0.8 0.8 0.8 0.8]],69 24 26,[[57 66 64 62 60 58] 102 102]
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CO)[C@@](NC(=O)C)C(C)C,1,118,-8.3704357,3.0647452,-582.29071,-67.942589,-8.6163607,-41.4207,-8.3704357,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.0065383911,1,[37 625 55 3 1.3],21,37
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2N(C(=O)[C@]3NCCC3)CCC2)[C@](O)C)C(C)C)CCC1)[C@](O)C)CCCNC(=N)N,1,28,-8.352973,2.2382238,-18.508677,-103.788,-8.4164038,-47.303341,-8.352973,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.53830719,1,[[13 17 61] [3174 3174 3174] [20203 20203 20203] [5 5 5] [1.7 1.5 0.6]],24 26,[[13 17 61] [13 17]]
P(=O)(OC[C@](N)C(=O)O)(OC[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)O,1,145,-8.3508377,4.1967268,-35.574089,-7.0934196,-5.564219,-47.753845,-8.3508377,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.76220703,1,[[78 86 86 86 86 86 86] [1245 629 632 636 638 634 630] [93 55 55 55 55 55 55] [3 10 10 10 10 10 10] [4.8 0.6 0.6 0.6 0.6 0.6 0.6]],14 9 10,[[86 86 86 86 86 86] 78 78]
FC(F)(F)Oc1ccc(OC2CCN(c3ccc(CNC(=O)CCCN[C@](C(=O)N)[C@](O[C@]4[C@](O)[C@](O)[C@@](CN)O4)[C@@]4[C@@](O)[C@@](O)[C@](N5C(=O)NC(=O)C=C5)O4)cc3)CC2)cc1,1,147,-8.3249874,1.6421574,-50.294865,-74.528816,-10.376737,-44.604,-8.3249874,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[1 21 107 111] [3173 606 3174 3174] [20202 54 20203 20203] [5 3 5 5] [0.7 0.9 2.6 3.8]],1 4 24 26,[21 1 [107 111] [107 111]]
O=C(OC)CC[C@@](C)[C@@]1[C@]2(C)[C@]([C@@]3[C@](O)C[C@@]4[C@@](C)([C@]3CC2)CC[C@](NCCCCNCc2ncccc2)C4)CC1,1,121,-8.2799215,2.2711046,49.425724,-91.849365,-7.8303256,-46.323479,-8.2799215,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[60 818 65 2 3.4],36 37,[60 60]
O=C1N(CCCN2CCOCC2)C(=O)c2c3c4c(c(-c5ccc(CN6CCCC6)cc5)c2)C(=O)N(CCCN2CCOCC2)C(=O)c4cc(NCCN2CCCC2)c13,1,93,-8.2683601,2.110749,101.31013,-57.380116,-9.7101288,-38.559574,-8.2683601,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[78 81 81 97 97 97 97 97 97] [1303 24 107 850 854 858 856 852 849] [96 19 24 67 67 67 67 67 67] [1 4 2 10 10 10 10 10 10] [0.5 0.9 0.5 0.7 0.7 0.7 0.7 0.7 0.7]],51 76 19 77,[81 81 [97 97 97 97 97 97] 78]
Fc1c(C(=O)Nc2cc(C(C#N)(C)C)cc(-n3cc(C)nc3)c2)cc(C#Cc2n3c(C(Nc4cn(C)nc4)=CC=C3)nc2)c(C)c1,1,110,-8.2626419,1.2790169,59.832531,-76.780136,-8.8375063,-46.833065,-8.2626419,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,1.66983,1,[[5 76 74 8 6] [950 950 950 950 950] [73 73 73 73 73] [10 10 10 10 10] [0.8 0.8 0.8 0.8 0.8]],60,[[5 76 74 8 6]]
O=C(N[C@@](C(=O)N)Cc1c2c([nH]c1)cccc2)[C@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)CC(=O)N)CCC1)Cc1ccc(O)cc1,1,137,-8.2620115,3.0656662,-82.491554,-82.862541,-9.7959862,-43.964375,-8.2620115,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.35302734,1,[[66 66 66 66 66] [1308 1306 1303 1302 1304] [96 96 96 96 96] [10 10 10 10 10] [0.7 0.7 0.7 0.7 0.7]],18,[[66 66 66 66 66]]
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CO)[C@@](NC(=O)C)C(C)C,1,118,-8.1894226,1.7198392,-575.91614,-82.689896,-8.4875374,-46.295216,-8.1894226,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.013076782,1,[[20 65 83 88 20 77 77 77 77 77 77] [3173 3173 940 940 566 849 852 856 858 854 850] [20202 20202 72 72 51 67 67 67 67 67 67] [5 5 1 1 2 10 10 10 10 10 10] [2.7 2.9 1 1.4 2.6 0.8 0.8 0.8 0.8 0.8 0.8]],40 50 19 20 4 11,[20 20 [77 77 77 77 77 77] [83 88] [20 65] [20 65]]
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CO)[C@@](NC(=O)C)C(C)C,1,118,-8.1893139,1.8148856,-581.38715,-76.202934,-8.7782927,-43.509804,-8.1893139,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.013076782,1,[[65 83 88 77 77 77 77 77 77] [3173 940 940 849 852 856 858 854 850] [20202 72 72 67 67 67 67 67 67] [5 1 1 10 10 10 10 10 10] [2 1 1 0.6 0.6 0.6 0.6 0.6 0.6]],19 20 4 11,[[77 77 77 77 77 77] [83 88] 65 65]
P(=O)(OC[C@](N)C(=O)O)(OC[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)O,1,145,-8.1853666,3.0725048,-35.619537,-27.408567,-7.3404946,-50.720448,-8.1853666,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.76220703,1,[65 3173 20202 5 2.4],4 11,[65 65]
O=C(O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCCCCCCCCCC)CCC(=O)O)C)C(C)C)CO)CC(C)C)CCCCN)CCC1)[C@](O)C,1,144,-8.1691971,4.1843643,28.150679,21.901104,-3.0944002,-46.971306,-8.1691971,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.0065383911,1,[[43 82 142 139 154] [940 756 3173 566 566] [72 62 20202 51 51] [1 1 5 2 2] [2.6 0.5 1 1 3.4]],40 50 8 20 30 4,[[139 154] 154 82 43 43 142]
P(=O)(OC[C@](N)C(=O)O)(OC[C@](OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC)O,1,145,-8.1680012,2.2490125,-38.839214,-48.551708,-7.2188711,-40.785496,-8.1680012,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.38317871,1,[[59 42 42 42 42 42 42] [3173 629 632 636 638 634 630] [20202 55 55 55 55 55 55] [5 10 10 10 10 10 10] [0.5 0.5 0.5 0.5 0.5 0.5 0.5]],14 4,[[42 42 42 42 42 42] 59]
O=C(N(c1ccc(O)cc1)c1ccccc1)c1c2n(c(-c3c(C(=O)N4[C@](CN5CCOCC5)Cc5c(cccc5)C4)cc4OCOc4c3)c1)CCCC2,1,119,-8.1446362,1.8897301,132.22365,-58.115822,-9.5152645,-45.72794,-8.1446362,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,1.9374087,1,[[80 80 80 80 80 80 84 94 92 89 87 85 21 21 21 21 21 30 30 30 30 30 28 28 28 28 28 26 26 26 26 26 24 24 24 24 24 22 22 22 22 22] [849 852 856 858 854 850 933 933 933 933 933 933 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302] [67 67 67 67 67 67 72 72 72 72 72 72 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96] [10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [0.6 0.6 0.6 0.6 0.6 0.6 0.7 0.7 0.7 0.7 0.7 0.7 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005]],19 68,[[80 80 80 80 80 80] [84 94 92 89 87 85]]
Fc1c(CCNCC(=O)N(CC(=O)N(CC(=O)N)CCCN2C(=O)CCC2)CC(C)C)cccc1,1,108,-8.1089869,1.3918842,39.333698,-92.125061,-8.3821306,-43.167282,-8.1089869,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.0041013835,1,[[46 41] [3174 927] [20203 72] [5 4] [4.4 1.3]],66 24 26,[41 46 46]
Ic1c(O)ccc(C[C@]2C(=O)N[C@](Cc3c4c([nH]c3)cccc4)C(=O)N[C@@](CCCCN)C(=O)N[C@@](C(C)C)C(=O)N[C@](C(=O)N[C@](C(=O)N)[C@](O)C)CSSC[C@](NC(=O)[C@](N)Cc3cc(I)c(N)cc3)C(=O)N2)c1,1,99,-8.0731163,4.3900571,55.70417,-36.926544,-8.5227461,-43.04641,-8.0731163,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[34 76 130 28 28 28 28 28] [3174 893 566 1308 1306 1303 1302 1304] [20203 70 51 96 96 96 96 96] [5 3 2 10 10 10 10 10] [2.3 1.4 1.9 0.6 0.6 0.6 0.6 0.6]],40 50 78 18 24 26,[130 130 76 [28 28 28 28 28] 34 34]
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2N(C(=O)[C@]3NCCC3)CCC2)[C@](O)C)C(C)C)CCC1)[C@](O)C)CCCNC(=N)N,1,28,-8.0453663,3.4381783,-39.314533,-92.29496,-9.8794775,-43.126774,-8.0453663,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.52050781,1,[[98 111] [932 3173] [72 20202] [3 5] [1.2 3.1]],7 4 11,[98 111 111]
O=C(N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CO)[C@@](NC(=O)C)C(C)C,1,118,-8.0294971,2.0393322,-581.22412,-50.383457,-8.2150879,-38.468239,-8.0294971,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.013076782,1,[[7 83] [756 553] [62 51] [1 3] [0.9 0.5]],31 8,[83 7]
Ic1c(O)ccc(C[C@]2C(=O)N[C@](Cc3c4c([nH]c3)cccc4)C(=O)N[C@@](CCCCN)C(=O)N[C@@](C(C)C)C(=O)N[C@](C(=O)N[C@](C(=O)N)[C@](O)C)CSSC[C@](NC(=O)[C@](N)Cc3cc(I)c(N)cc3)C(=O)N2)c1,1,99,-8.0183687,2.9586899,57.409042,-1.459272,-8.2216778,-46.488605,-8.0183687,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[34 110 61 130] [3174 3174 1271 566] [20203 20203 94 51] [5 5 2 2] [4 0.5 0.5 1.9]],40 50 12 24 26,[130 130 61 [34 110] 34]
Ic1c(O)ccc(C[C@]2C(=O)N[C@](Cc3c4c([nH]c3)cccc4)C(=O)N[C@@](CCCCN)C(=O)N[C@@](C(C)C)C(=O)N[C@](C(=O)N[C@](C(=O)N)[C@](O)C)CSSC[C@](NC(=O)[C@](N)Cc3cc(I)c(N)cc3)C(=O)N2)c1,1,99,-8.0113554,2.0297546,62.485859,-11.945183,-8.8492422,-46.82819,-8.0113554,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[34 124 127 127] [3174 3173 553 3173] [20203 20202 51 20202] [5 5 3 5] [2.9 0.6 1.2 5.4]],31 4 11 24 26,[127 [124 127] 127 34 34]
O=C1[C@](CCCNC(=N)N)NC(=O)[C@](Cc2c3c([nH]c2)cccc3)NC(=O)[C@](CCCNC(=N)N)NC(=O)[C@](CC(C)C)NC(=O)[C@]([C@](CC)C)NC(=O)[C@](Cc2ccc(O)cc2)NC(=O)[C@](CCCCN)NC(=O)[C@](CO)NC(=O)[C@]([C@](CC)C)NC(=O)[C@](Cc2nc[nH]c2)NC(=O)[C@](CO)NC(=O)[C@]2N(C(=O)[C@](CCCCN)NC(=O)[C@]3N1CCC3)CCC2,1,94,-8.0004272,3.1914399,-201.46239,-57.755756,-5.9000144,-44.059238,-8.0004272,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[212 216 232] [940 756 686] [72 62 58] [1 1 3] [4.3 0.5 0.5]],6 8 20 30,[232 216 212 212]
O=C(O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CCCCCCCCCCCCC)CCC(=O)O)C)C(C)C)CO)CC(C)C)CCCCN)CCC1)[C@](O)C,1,144,-7.9987125,3.3215108,36.819859,10.001387,-2.5934801,-47.004871,-7.9987125,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.013076782,1,[82 3174 20203 5 2.6],24 26,[82 82]
O=C1[C@](CCCNC(=N)N)NC(=O)[C@](Cc2c3c([nH]c2)cccc3)NC(=O)[C@](CCCNC(=N)N)NC(=O)[C@](CC(C)C)NC(=O)[C@]([C@](CC)C)NC(=O)[C@](Cc2ccc(O)cc2)NC(=O)[C@](CCCCN)NC(=O)[C@](CO)NC(=O)[C@]([C@](CC)C)NC(=O)[C@](Cc2nc[nH]c2)NC(=O)[C@](CO)NC(=O)[C@]2N(C(=O)[C@](CCCCN)NC(=O)[C@]3N1CCC3)CCC2,1,94,-7.945333,2.804877,-197.17599,-40.147064,-8.2724276,-41.224251,-7.945333,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[22 55 235] [3174 3173 756] [20203 20202 62] [5 5 1] [0.5 0.6 2]],8 33 4 24,[235 235 55 22]
FC(F)(F)c1c(-c2n(C3CCCC3)nc(C(=O)N[C@](CC(=O)O)CCN3CC(F)(F)CCC3)c2)cccc1,1,40,-7.9421072,1.4793434,81.466507,-105.34323,-9.5063648,-42.458557,-7.9421072,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,1.7199342,1,[[47 36 69 54 39 37 40 40 40 40 40 49 49 49 49 49 47 47 47 47 47 45 45 45 45 45 43 43 43 43 43 41 41 41 41 41] [3173 1246 1246 1246 1246 1246 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302] [20202 93 93 93 93 93 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96] [5 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [0.7 1.1 1.1 1.1 1.1 1.1 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005]],27 28 4,[[36 69 54 39 37] [36 69 54 39 37] 47]
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2N(C(=O)[C@]3NCCC3)CCC2)[C@](O)C)C(C)C)CCC1)[C@](O)C)CCCNC(=N)N,1,28,-7.9381804,1.9872744,-35.262016,-3.4434805,-8.0885477,-39.97504,-7.9381804,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0.5317688,1,[[48 70 103 103 103 103 103 103] [3173 3174 849 852 856 858 854 850] [20202 20203 67 67 67 67 67 67] [5 5 10 10 10 10 10 10] [1.2 0.5 0.7 0.7 0.7 0.7 0.7 0.7]],19 4 24,[[103 103 103 103 103 103] 48 70]
Ic1c(O)ccc(C[C@]2C(=O)N[C@](Cc3c4c([nH]c3)cccc4)C(=O)N[C@@](CCCCN)C(=O)N[C@@](C(C)C)C(=O)N[C@](C(=O)N[C@](C(=O)N)[C@](O)C)CSSC[C@](NC(=O)[C@](N)Cc3cc(I)c(N)cc3)C(=O)N2)c1,1,99,-7.8991089,1.8701789,56.858997,-22.55562,-8.4632168,-45.696499,-7.8991089,$HOME/My Research/MDM2/sdf for docking/smiles_data25.sdf,0,1,[[34 76 61] [3174 893 1271] [20203 70 94] [5 3 2] [3.7 2.9 0.5]],78 79 12 24 26,[76 76 61 34 34]
