mol,rseq,mseq,S,rmsd_refine,E_conf,E_place,E_score1,E_refine,E_score2,$File,E_orig,Rec_index,PLIF_raw,FP:PLIF,PLIF_ligidx
S(C[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CCCCN)CCCCN)CCCCN)CCCCN)CO)CC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1,817,-9.9906607,4.1001821,101.84734,3.0627315,-4.7636538,-60.221523,-9.9906607,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.16194916,1,[[68 68 117 5 5 5 5 5] [812 818 815 1302 1304 1308 1306 1303] [65 65 65 96 96 96 96 96] [2 2 2 10 10 10 10 10] [6.1 1.3 1.7 0.5 0.5 0.5 0.5 0.5]],27 28 13,[[68 68 117] [68 117] [5 5 5 5 5]]
S(SCCOC(=O)OCCN1[C@@]2[C@]1CCC[C@](C)[C@](O)[C@@](C)C(=O)C(C)(C)[C@@](O)CC(=O)O[C@](/C(=C/c1nc(C)sc1)/C)C2)C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CC[C@](NC(=O)c1ccc(NCc2nc3C(=O)NC(N)=Nc3nc2)cc1)C(=O)O)CC(=O)O)CCCNC(=N)N)CC(=O)O)C(=O)O,1,294,-9.8680115,5.4281244,-347.91159,43.97514,-0.84830403,-64.095703,-9.8680115,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[108 125 130 156 161 180 199] [700 606 606 756 756 845 700] [59 54 54 62 62 67 59] [1 3 3 1 1 3 1] [4.3 1 0.8 1.2 0.8 4.8 2.7]],1 62 63 15 81 82,[[125 130] [108 199] [108 199] [156 161] 180 180]
O=C(OC[C@@]1[C@@](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@@](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)C(OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)O1)c1cc(OC(=O)c2cc(O)c(O)c(O)c2)c(O)c(O)c1,1,183,-9.8589392,2.9252689,3.0529969,3.6366193,-9.0773249,-64.965805,-9.8589392,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.00014463961,1,[[90 124 166 72 72 72 72 72 62 74 71 68 65 63] [3174 940 3173 1304 1308 1306 1303 1302 612 612 612 612 612 612] [20203 72 20202 96 96 96 96 96 54 54 54 54 54 54] [5 1 5 10 10 10 10 10 10 10 10 10 10 10] [5 2.9 2.8 0.5 0.5 0.5 0.5 0.5 0.7 0.7 0.7 0.7 0.7 0.7]],3 23 24 13 4 9 7 8,[[62 74 71 68 65 63] 124 124 [72 72 72 72 72] 166 166 90 90]
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)C)C)CCC(=O)N)Cc1ccccc1)CO)CCCCN)[C@](O)C)C)C)CCCCN,1,590,-9.4754868,5.4696941,-39.98489,6.6223707,-3.7211411,-62.321278,-9.4754868,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.0038928986,1,[[9 14 108 118 65 65 65 65 65 65] [3173 3173 818 815 852 856 858 854 850 849] [20202 20202 65 65 67 67 67 67 67 67] [5 5 2 2 10 10 10 10 10 10] [1.1 5.3 1.3 3.3 0.5 0.5 0.5 0.5 0.5 0.5]],27 28 5 4 9,[[108 118] 118 [65 65 65 65 65 65] [9 14] 14]
O=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@@]1N=C(O)[C@@](CCC(O)=N)N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)[C@](N=C(O)C)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CCCNC(=N)N)CSSC1)CCCNC(=N)N)CCCNC(=N)N)CCCCN)CC(O)=N,1,612,-9.4606886,3.4835243,-2207.2278,-19.670746,-3.0566444,-55.462067,-9.4606886,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[71 98 140 144 186 266 181 181 181 181 181] [3174 6 3173 3174 1245 940 1306 1308 1304 1302 1303] [20203 17 20202 20203 93 72 96 96 96 96 96] [5 3 5 5 3 1 10 10 10 10 10] [1.5 1.3 3.3 5.1 0.8 1.3 0.9 0.9 0.9 0.9 0.9]],105 23 20 13 4 9 7 8,[98 266 186 [181 181 181 181 181] 140 140 [71 144] [71 144]]
S(SCCOC(=O)OCCN1[C@@]2[C@]1CCC[C@](C)[C@](O)[C@@](C)C(=O)C(C)(C)[C@@](O)CC(=O)O[C@](/C(=C/c1nc(C)sc1)/C)C2)C[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CC[C@](NC(=O)c1ccc(NCc2nc3C(=O)NC(N)=Nc3nc2)cc1)C(=O)O)CC(=O)O)CCCNC(=N)N)CC(=O)O)C(=O)O,1,294,-9.4400358,3.7005396,-333.39554,29.316051,-2.0257001,-55.778584,-9.4400358,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.0017969018,1,[[146 180 173 188 187 177 176 174] [700 845 818 818 818 818 818 818] [59 67 65 65 65 65 65 65] [1 3 10 10 10 10 10 10] [1.2 0.7 0.5 0.5 0.5 0.5 0.5 0.5]],62 83 81,[146 [173 188 187 177 176 174] 180]
O=C(O)C([C@](NC(=O)/C=C/C=C\CCC(C)C)C(=O)N[C@@]1C(=O)N[C@](C(C)C)C(=O)N[C@@](CCCCN)C(=O)N[C@@](C(O)C(=O)O)C(=O)N[C@@](CC(=O)O)C(=O)NCC(=O)N[C@](C(C(=O)O)C)C(=O)N[C@@](C(C)C)C(=O)N2[C@](C(=O)NC1C)C[C@@](C)C2)C,1,465,-9.3613195,1.9719983,-37.358036,-58.278095,-12.329443,-51.023159,-9.3613195,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[23 82] [3174 932] [20203 72] [5 3] [0.5 1.1]],11 7,[82 23]
O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)C)C)CCC(=O)N)Cc1ccccc1)CO)CCCCN)[C@](O)C)C)C)CCCCN,1,590,-9.3322802,4.4933643,-34.760098,-5.4977221,-5.5801458,-57.186584,-9.3322802,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[7 135 142 118 65 65 65 65 65 65] [3173 766 756 818 852 856 858 854 850 849] [20202 63 62 65 67 67 67 67 67 67] [5 3 1 2 10 10 10 10 10 10] [5.8 0.6 0.7 0.9 0.5 0.5 0.5 0.5 0.5 0.5]],15 87 27 5 4 9,[142 135 118 [65 65 65 65 65 65] 7 7]
S(C[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CCCCN)CCCCN)CCCCN)CCCCN)CO)CC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1,817,-9.3211098,4.0226965,114.4769,-10.961012,-4.8587461,-53.68235,-9.3211098,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.013076782,1,[[58 142 163] [1271 566 563] [94 51 51] [2 2 2] [0.9 4.9 0.8]],40 41 46,[[142 163] 142 58]
S(C[C@](N)C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CCCCN)CCCCN)CCCCN)CCCCN)CO)CC(OC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1,817,-9.3109694,4.2926378,110.88847,16.410011,-2.9955418,-52.247726,-9.3109694,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0.16194916,1,[[58 76 142 93 93 93 93 93] [932 3174 566 1306 1308 1304 1302 1303] [72 20203 51 96 96 96 96 96] [3 5 2 10 10 10 10 10] [1.2 3.1 3 0.7 0.7 0.7 0.7 0.7]],40 41 11 13 7 8,[142 142 58 [93 93 93 93 93] 76 76]
Ic1c(OCc2nnn(CCOCCOCCOCCOCCOCCOCCOc3ccc(CNC(=N)N)cc3)c2)c(I)cc(Oc2c(I)cc(CC(=O)O)cc2I)c1,1,943,-9.1436939,4.398407,-103.97193,-56.516239,-7.7347865,-51.994324,-9.1436939,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,1.0865366,1,[[64 71 92 67 67 67 67 67 104 104 104 104 104 103 103 103 103 103 70 70 70 70 70 68 68 68 68 68] [3174 3173 57 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302 1304 1308 1306 1303 1302] [20203 20202 21 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96 96] [5 5 4 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10] [0.8 0.6 2.3 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005 1e-005]],116 117 4 7,[92 92 71 64]
S(CC[C@](NC(=O)[C@@](N)Cc1ccc(O)cc1)C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CC(C)C)Cc3ccc(O)cc3)CCC2)C)CC(=O)N)CCC1)Cc1ccccc1)C,1,984,-9.1048241,2.8427973,3.5064723,-36.472633,-8.0614033,-51.964832,-9.1048241,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[20 82 125 133 17 135 135 135 135 135 26 36 34 31 29 27] [893 756 29 3173 927 1306 1308 1304 1302 1303 1274 1274 1274 1274 1274 1274] [70 62 19 20202 72 96 96 96 96 96 94 94 94 94 94 94] [3 1 3 5 4 10 10 10 10 10 10 10 10 10 10 10] [0.6 0.9 1.1 5.7 3.5 0.6 0.6 0.6 0.6 0.6 1.3 1.3 1.3 1.3 1.3 1.3]],106 15 51 59 98 115 119 13 4 9,[125 82 20 17 17 [26 36 34 31 29 27] [26 36 34 31 29 27] [135 135 135 135 135] 133 133]
S(CC[C@](NC(=O)[C@@](N)Cc1ccc(O)cc1)C(=O)N[C@](C(=O)N1[C@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@](C(=O)N[C@](C(=O)O)CC(C)C)Cc3ccc(O)cc3)CCC2)C)CC(=O)N)CCC1)Cc1ccccc1)C,1,984,-9.0893145,4.8401284,-2.4380879,-72.459023,-7.2691216,-52.94841,-9.0893145,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,0,1,[[14 42 61 74 78 82] [700 756 756 756 756 940] [59 62 62 62 62 72] [1 1 1 1 1 1] [3 0.8 0.6 1.1 0.5 2.9]],62 63 15 23 24,[14 14 [42 61 74 78] 82 82]
O=C(OC[C@@]1[C@@](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)[C@@](OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)C(OC(=O)c2cc(OC(=O)c3cc(O)c(O)c(O)c3)c(O)c(O)c2)O1)c1cc(OC(=O)c2cc(O)c(O)c(O)c2)c(O)c(O)c1,1,183,-9.0377893,4.1880431,28.033615,-67.45993,-11.471478,-58.702106,-9.0377893,$HOME/My Research/MDM2/sdf for docking/smiles_data24.sdf,1.9387463,1,[[32 153 62 74 71 68 65 63] [553 893 612 612 612 612 612 612] [51 70 54 54 54 54 54 54] [3 3 10 10 10 10 10 10] [1.1 1.6 0.5 0.5 0.5 0.5 0.5 0.5]],43 3 51 52,[32 [62 74 71 68 65 63] 153 153]
